wavelength_nm, transmission
1.570030030030030048e+03,2.450001545787905410e-02
1.570130130130130055e+03,2.502740505511960936e-02
1.570230230230230291e+03,2.557252398559681575e-02
1.570330330330330298e+03,2.613616657350729955e-02
1.570430430430430533e+03,2.671917170057728358e-02
1.570530530530530541e+03,2.732242580750550778e-02
1.570630630630630549e+03,2.794686613127201832e-02
1.570730730730730784e+03,2.859348419943680622e-02
1.570830830830830791e+03,2.926332960473861794e-02
1.570930930930931027e+03,2.995751408562846024e-02
1.571031031031031034e+03,3.067721594101870813e-02
1.571131131131131042e+03,3.142368481045582085e-02
1.571231231231231277e+03,3.219824685416893678e-02
1.571331331331331285e+03,3.300231037113408872e-02
1.571431431431431520e+03,3.383737189729266875e-02
1.571531531531531527e+03,3.470502283066058402e-02
1.571631631631631535e+03,3.560695663511524028e-02
1.571731731731731770e+03,3.654497668030406987e-02
1.571831831831831778e+03,3.752100478155264568e-02
1.571931931931932013e+03,3.853709051076047165e-02
1.572032032032032021e+03,3.959542135725930417e-02
1.572132132132132028e+03,4.069833382670724059e-02
1.572232232232232263e+03,4.184832557612775533e-02
1.572332332332332271e+03,4.304806869467870528e-02
1.572432432432432506e+03,4.430042425261902783e-02
1.572532532532532514e+03,4.560845825533019204e-02
1.572632632632632522e+03,4.697545915571809533e-02
1.572732732732732757e+03,4.840495709675556729e-02
1.572832832832832764e+03,4.990074507678066845e-02
1.572932932932932999e+03,5.146690225387316742e-02
1.573033033033033007e+03,5.310781963225350011e-02
1.573133133133133242e+03,5.482822840400548847e-02
1.573233233233233250e+03,5.663323125366039740e-02
1.573333333333333258e+03,5.852833697206923091e-02
1.573433433433433493e+03,6.051949876996430555e-02
1.573533533533533500e+03,6.261315673160736117e-02
1.573633633633633735e+03,6.481628490544871779e-02
1.573733733733733743e+03,6.713644359263955252e-02
1.573833833833833751e+03,6.958183746711793516e-02
1.573933933933933986e+03,7.216138024255625005e-02
1.574034034034033994e+03,7.488476669441983258e-02
1.574134134134134229e+03,7.776255294960225661e-02
1.574234234234234236e+03,8.080624607332141662e-02
1.574334334334334244e+03,8.402840411455889114e-02
1.574434434434434479e+03,8.744274791764823640e-02
1.574534534534534487e+03,9.106428617011916304e-02
1.574634634634634722e+03,9.490945533543194979e-02
